"G''(Angular frequency), created by Plot Digitizer, 2.6.11"
"Date: 9/11/24, 4:30:51 AM"


119
Angular frequency,G''
0.107609,2395.57,
0.121783,3055.03,
0.152903,3754.10,
0.184184,4527.29,
0.221865,5459.73,
0.246030,6108.89,
0.284368,6964.82,
0.321950,7793.33,
0.364498,8720.38,
0.395900,9756.73,
0.467208,10918.4,
0.518153,11768.6,
0.574652,12684.9,
0.637313,13672.6,
0.721620,14738.0,
0.834161,16186.7,
0.887472,17774.3,
0.963982,19518.6,
1.13742,23101.7,
1.21018,24898.0,
1.37035,26341.3,
1.55154,28929.2,
1.75679,31183.3,
1.94813,34890.9,
2.34708,39783.6,
2.65801,40546.1,
2.88781,41319.1,
3.33874,42907.3,
4.02315,46257.6,
4.94946,49871.9,
5.84193,52768.2,
6.89610,53785,
8.66319,54829.7,
11.5806,58031.5,
14.5464,61410.9,
17.1693,64977.2,
19.8481,70043.7,
25.4538,74126.3,
28.8243,76971.7,
34.7310,84546.6,
38.5202,89443,
45.4686,92885.7,
51.4834,100123,
63.3409,105948,
77.9205,116381,
88.2234,127815,
101.988,137781,
122.874,157101,
148.053,172562,
171.162,182574,
224.054,208218,
259.055,212220,
305.681,246530,
383.837,291832,
452.973,326580,
545.767,365483,
657.643,394021,
825.697,484182,
994.956,521988,
1174.17,584140,
1357.21,653659,
1505.03,731379,
1739.35,865601,
1889.41,932952,
2229.85,1.02471e+06,
2686.65,1.14678e+06,
3042.05,1.23614e+06,
3444.47,1332454,
4150.09,1.49118e+06,
4897.87,1.63785e+06,
5320.42,1765288,
6023.90,1.93872e+06,
6541.75,2.29416e+06,
7562.39,2.47304e+06,
8921.52,3.09578e+06,
10526.7,3.66409e+06,
12169.0,3949792,
14361.7,4338277,
17662.5,5232049,
20417.0,5746361,
22639.5,6.55084e+06,
27839.7,8201226,
32856.0,9007864,
42123.7,10466300,
52896.9,12160252,
62428.1,13356283,
72151.9,15514840,
83385.7,18362106,
100451,21734096,
121042,23431118,
142836,26715488,
172087,30461770,
203060,35386592,
244657,39602012,
282765,46002236,
333659,53439520,
393801,57609232,
464784,62104288,
548500,69498936,
647222,80734984,
763927,85423584,
901625,92088904,
1.10922e+06,99284320,
1.33652e+06,109055016,
1.57752e+06,115388264,
1.94074e+06,124404200,
2.38745e+06,136653872,
2.81795e+06,144589888,
3.39560e+06,155879632,
4265463,161904016,
5248158,168152752,
6.45725e+06,174642640,
8281448,181401344,
9980732,184906160,
12029370,184990208,
13341804,195703664,
15750202,195782720,
20625400,195911280,
25380012,196010224,
