"G' (Pa)(W (rad/s)), created by Plot Digitizer, 2.6.11"
"Date: 8/6/24, 4:26:28 PM"


85
W (rad/s),G' (Pa)
0.127243,132.319,
0.192312,164.519,
0.192312,246.543,
0.244703,316.228,
0.311368,459.370,
0.396193,804.277,
0.521782,1097.84,
0.641468,1697.19,
0.788608,2389.89,
1.03859,3694.60,
1.36780,5043.16,
1.62466,8559.19,
1.99732,11325.4,
2.54145,16971.9,
3.34706,23166.7,
3.97559,31622.8,
5.41915,41842.9,
6.89549,62704.3,
8.19037,73259.7,
10.4217,93966.5,
13.2608,116834,
16.8735,140815,
23.0003,159479,
31.3518,186325,
42.7358,211020,
71.6156,254335,
97.6195,297148,
128.564,297148,
175.246,306540,
255.901,347169,
325.616,369460,
414.323,405610,
648.126,445296,
946.420,473888,
1430.39,520255,
1883.81,607832,
2847.14,667305,
4157.52,779636,
5865.58,910876,
8275.38,1000000,
12084.0,1.20526e+06,
15914.5,1.45265e+06,
24895.1,1.80616e+06,
35122.9,2.11020e+06,
47876.2,2.54335e+06,
63052.3,2.88044e+06,
80229.6,3365325,
109361,3581410,
154291,4593695,
210315,5536601,
286681,6883952,
418624,9108764,
570628,11683355,
726083,16451906,
1.09738e+06,21768968,
1.54823e+06,29714812,
2.11040e+06,35814100,
2.68534e+06,48886528,
3.53655e+06,68839520,
4820689,91087640,
6571103,132318824,
8654057,169718720,
11397279,231667376,
14011586,270665216,
19768064,347168672,
25153470,393182880,
33126792,459369504,
45155276,589210240,
63706736,627042944,
86838936,688395200,
122515584,755750400,
191651056,910876416,
261240416,939664832,
453109632,1097843712,
661649216,1064209216,
1000000000,1097843712,
1187786624,1205260928,
1564299392,1205260928,
2060161920,1243353472,
2621411072,1243353472,
3452364032,1282649856,
4244267008,1323188224,
6639304192,1365007744,
7886076416,1365007744,
9366975488,1452653952,
