"G''(Angular frequency), created by Plot Digitizer, 2.6.11",,,
"Date: 9/11/24, 6:19:22 AM",,,
,,,
,,,
143,,,
Angular frequency,G'',,
0.106116,2627.28,-2.243222444,7.873704369
0.120267,3173.96,-2.118041008,8.062735299
0.151309,3982.4,-1.888431175,8.289639932
0.1715,4460.87,-1.763172012,8.403099093
0.198488,4996.92,-1.617026634,8.516577002
0.234561,5923.9,-1.450039597,8.686750295
0.254979,6635.42,-1.36657409,8.800177245
0.289018,7023.09,-1.241266309,8.856958571
0.314188,7574.93,-1.157763746,8.932599389
0.363631,8485.19,-1.011615662,9.04607757
0.379106,9504.01,-0.96993943,9.159469094
0.438749,11056,-0.823827783,9.310728546
0.497293,12384.4,-0.698575889,9.424192895
0.540591,13612.3,-0.615092293,9.518729075
0.563618,14681.3,-0.573378562,9.594329854
0.638813,16758.9,-0.448143512,9.726684739
0.73937,18076.7,-0.301956807,9.802379095
0.73937,18076.7,-0.301956807,9.802379095
0.787125,19868.6,-0.239368212,9.896895875
0.89219,21430.5,-0.114076165,9.97257042
1.01128,23115.2,0.011216855,10.04824569
1.01128,23115.2,0.011216855,10.04824569
1.12254,25407.4,0.115593975,10.14279575
1.2203,27403.7,0.19909673,10.21843332
1.2203,27403.7,0.19909673,10.21843332
1.41236,30122.3,0.345262064,10.31302104
1.50353,34383.1,0.407815677,10.44532044
1.66895,37792.7,0.512194686,10.53987124
1.85263,40000.1,0.616606251,10.59663723
2.01386,45659,0.700053278,10.72895602
2.33082,50188.5,0.846220137,10.8235412
2.53371,56216.6,0.929684632,10.93696737
3.05775,59504.1,1.117679351,10.9938005
3.53888,67925.8,1.263810293,11.12617121
4.27057,76090.8,1.451747308,11.23968264
5.04698,85235.9,1.618790045,11.35317799
5.96477,91939.5,1.785870497,11.42888603
6.35063,91944.3,1.848554021,11.42893824
7.35044,97317.8,1.994760175,11.48573719
8.15991,97326.1,2.09923314,11.48582247
9.44491,99194.3,2.245475972,11.50483583
11.885,103034,2.475277101,11.54281431
15.271,109064,2.725955605,11.59969014
18.8197,109083,2.934904194,11.59986434
22.7112,119909,3.122858195,11.6944884
22.7112,119909,3.122858195,11.6944884
26.2882,119923,3.269120169,11.69460515
30.4292,117693,3.415402674,11.67583482
35.2211,119952,3.561645335,11.69484694
40.7653,129384,3.707831229,11.77054001
49.1995,129404,3.895883461,11.77069457
63.2174,134414,4.14657958,11.80867987
63.2174,134414,4.14657958,11.80867987
76.2924,142275,4.334573327,11.86551708
98.0298,147784,4.585271514,11.90350703
113.465,153494,4.731494419,11.94141676
136.935,159429,4.919506361,11.97935396
168.753,162498,5.128436107,11.99842097
191.278,175272,5.253727867,12.07409433
230.839,185522,5.441720498,12.13092875
278.567,207822,5.629658605,12.24443722
343.261,232808,5.838491091,12.35796936
422.987,255916,6.047341446,12.45260454
499.888,286673,6.214384073,12.56609747
615.993,315128,6.4232356,12.66073418
743.369,346401,6.611192557,12.75535234
878.55,373645,6.778272821,12.83106143
1038.28,418552,6.945320777,12.94455641
1176.84,460066,7.070588159,13.03912524
1480.85,486987,7.300371526,13.09599271
1678.45,545497,7.425626027,13.20945258
2025.37,646704,7.613507679,13.37964397
2248.03,766635,7.717809556,13.54976609
2248.03,766635,7.717809556,13.54976609
2769.9,926220,7.926566497,13.73886707
3412.85,1.14E+06,8.135302998,13.94686333
3412.85,1.14E+06,8.135302998,13.94686333
4205.68,1207076,8.344191272,14.00371146
4668.39,1.33E+06,8.448569537,14.09826551
5403.25,1.43E+06,8.594755903,14.17395394
6385.83,1.54E+06,,
7088.27,1.73E+06,,
8553.82,1.94E+06,,
10108.4,2.30E+06,,
12455.5,2.67E+06,,
15029.9,3167008,,
19309.3,3826393,,
22819.3,4.37E+06,,
29934.5,5480787,,
37662.4,6.62E+06,,
45448.5,7.56E+06,,
56000.2,8961878,,
69002.9,10425919,,
85028,11679370,,
96373.9,13082620,,
106973,14933709,,
126426,16108225,,
159064,19461694,,
187972,23072048,,
217540,27351694,,
257090,30638988,,
303831,34321368,,
366650,38446980,,
424341,43888436,,
491109,50100028,,
592639,57192716,,
715063,74521088,,
845065,83477496,,
845065,83477496,,
957827,93507120,,
1.21E+06,117324272,,
1.52E+06,136493072,,
1868296,155819136,,
2.35E+06,171288512,,
3.22E+06,206962176,,
4.13E+06,236274064,,
5651217,274896096,,
7.73E+06,296551872,,
9933293,313910144,,
11739882,332261664,,
15728558,345139520,,
20637456,345216448,,
26516994,365423232,,
34792972,365504672,,
45651888,365586144,,
59898748,372641856,,
81959568,320451616,,
124486040,297228864,,
177573136,302986048,,
242973648,260551440,,
293260448,246232384,,
401223200,237162848,,
560596736,200133520,,
766992832,189154288,,
1094284544,159623504,,
1320737024,153728224,,
1528665600,162712560,,
2273792512,153796768,,
3382634496,124977696,,
4256300800,137385200,,
5137202176,129834960,,
6601523712,122705968,,
9032706048,107532968,,
