"G''(Angular frequency), created by Plot Digitizer, 2.6.11",,,
"Date: 9/11/24, 6:03:51 AM",,,
,,,
,,,
133,,,
Angular frequency,G'',,
0.0962761,3063.98,-2.340535174,8.027470003
0.109022,3363.97,-2.216205582,8.120877103
0.11602,3693.51,-2.153992689,8.214332504
0.131381,4055.13,-2.02965378,8.307738025
0.142742,4536.35,-1.946716474,8.419878003
0.158324,4888.3,-1.843111713,8.494599874
0.175615,5468.3,-1.73946118,8.606723061
0.198872,6232.49,-1.615093877,8.737531211
0.216062,6716.15,-1.532189875,8.812270353
0.239652,7373.83,-1.428567408,8.905692525
0.265814,7945.91,-1.324958463,8.98041261
0.307304,8723.73,-1.179917793,9.073802178
0.340851,9400.54,-1.076309847,9.148522413
0.370326,10516.1,-0.99337158,9.260662695
0.402327,11122.2,-0.910490088,9.31669839
0.446256,12211.4,-0.806862501,9.410125221
0.49499,13660.3,-0.703217719,9.522249095
0.560513,14719.8,-0.578902843,9.596948805
0.621713,16161.3,-0.475276708,9.690374774
0.689647,19122.1,-0.371575407,9.858600013
0.76499,22206.2,-0.267892517,10.00812681
0.848516,24380.7,-0.164266338,10.10154711
0.92184,25785.9,-0.081383606,10.15758311
1.02249,28311,0.022240829,10.2510057
1.15795,33497.2,0.1466512,10.41921713
1.25804,36096.7,0.229554954,10.49395673
1.42459,39630.8,0.353884053,10.58736187
1.57996,38893.2,0.45739953,10.56857471
1.71659,43508.7,0.540339765,10.6807162
2.06839,46881.1,0.726770527,10.75536989
2.24705,47762.9,0.809618245,10.77400447
2.39124,51470.2,0.87181206,10.84875828
2.70752,50511.5,0.996033087,10.82995631
2.94166,56505.7,,
3.19568,56501.9,,
3.6189,64398,,
3.93133,63200.6,,
4.45148,64387.2,,
4.83615,68098.2,,
5.70767,70684,,
5.94922,73375.3,,
6.87756,77600.5,,
7.47146,77595.3,,
9.00186,76146.1,,
12.5388,83587.3,,
17.1064,85143.7,,
25.3534,88360.4,,
33.8807,91706.3,,
45.2751,93415.4,,
59.2661,102549,,
91.563,119057,,
135.719,135665,,
205.37,148913,,
268.838,166559,,
374.497,197037,,
490.252,228785,,
628.599,251160,,
789.469,275727,,
991.508,302697,,
1245.28,338578,,
1564.08,400567,,
2090.45,482827,,
2625.58,560643,,
3366.75,663277,,
4689.95,784648,,
6013.88,928291,,
7872.74,1.08E+06,,
9293.03,1.32E+06,,
11671.5,1.48E+06,,
14358.6,1.69E+06,,
16948.3,1996712,,
20849.5,2.19E+06,,
28452.2,2.96E+06,,
35735.6,3.43E+06,,
46782.2,4060583,,
67934.2,5.58E+06,,
85327.7,6.72E+06,,
111715,8735305,,
143259,10930822,,
172644,13678846,,
235586,17439102,,
289802,18442368,,
349229,21819648,,
429638,25336674,,
574279,33533224,,
692027,38938972,,
851413,47824668,,
1.03E+06,56582616,,
1.24E+06,65704060,,
1.55E+06,79200968,,
1871291,90264672,,
2.26E+06,112957344,,
2.61E+06,117248440,,
3.01E+06,126340736,,
3.48E+06,141326448,,
4286591,164106336,,
5165110,176826384,,
6.35E+06,217177344,,
7981454,252179104,,
9617220,271725760,,
11830905,298309504,,
14553322,309626272,,
19856126,339889344,,
24426142,366228352,,
32640900,373053920,,
42724464,380013056,,
54775984,379936352,,
70228248,387030400,,
95808456,386932768,,
110750408,379719168,,
136230176,379655328,,
171077968,379585088,,
214839872,379514880,,
275440928,379438304,,
345892512,372339360,,
416727424,351971616,,
481709824,339010208,,
604931648,338947488,,
791794816,338873408,,
896422720,297262816,,
1057925888,297222848,,
1356366080,302772480,,
1567783424,275712160,,
1928475136,275665824,,
2229274880,275633344,,
2630567168,241779952,,
3372585728,241731168,,
3980204544,241698640,,
4506316800,220100528,,
5429463552,220067216,,
6818324992,220026496,,
8214336000,200354880,,
9495591936,200331296,,
