"G' (Pa)(W (rad/s)), created by Plot Digitizer, 2.6.11"
"Date: 8/6/24, 4:21:16 PM"


78
W (rad/s),G' (Pa)
0.103761,149.753,
0.119411,217.348,
0.147282,315.367,
0.194664,443.457,
0.231960,663.857,
0.276357,963.374,
0.378202,1397.24,
0.435381,2158.03,
0.661722,3770.19,
0.815535,4682.88,
0.905724,5640.82,
1.32970,9856.21,
1.47698,12247.3,
1.53193,17783.0,
1.82315,20759.3,
2.40892,27431.1,
3.07594,39796.2,
4.35451,49402.3,
5.75269,63281.4,
7.59982,81059.8,
9.69660,100669,
12.8021,113871,
15.7680,124898,
23.9165,145658,
32.6894,164738,
40.2564,175159,
53.1241,180487,
83.4448,223959,
126.567,261185,
185.350,277512,
281.047,304128,
358.195,303830,
543.304,354331,
768.657,388424,
1014.83,439366,
1486.39,481573,
2177.74,561697,
3302.12,615570,
4836.50,674704,
6385.46,763192,
9689.89,977055,
14194.7,1.10473e+06,
21543.7,1.45896e+06,
28438.9,1.59979e+06,
41653.4,1.75347e+06,
67712.8,2.04435e+06,
102738,2.53711e+06,
135704,3150406,
205963,4.16058e+06,
312498,5163418,
412903,6822894,
564626,8471002,
827894,11542113,
1.17221e+06,14780620,
1604195,21437264,
2.11962e+06,28327006,
3.22053e+06,46505352,
4.40807e+06,69579568,
6.24329e+06,94818536,
9162952,155688480,
12529923,193295888,
16547975,232673872,
22646316,337461568,
35588424,459677216,
52149604,553089088,
76393680,625364160,
137791792,728798144,
201850448,824034112,
295689632,931715008,
515012256,1020502528,
728516608,1084448000,
1104654592,1188457216,
1794629888,1223579776,
2627710208,1260270720,
3468726784,1381918720,
5257185792,1379593088,
6702385664,1466656896,
8843378688,1465010944,
